name,state,city
"Jerry Wilson & Associates, Inc. Dale Carnegie Training",AR,Little Rock
Arkansas Valley Technical Institute of Arkansas Tech University,AR,Ozark
"3rd Dental Squadron, Elmendorf AFB Advanced Education in General Dentistry 12 Months",AR,Elmendorf AFB
College of Barber & Hair Design,AR,Little Rock
Washington Barber College,AR,Little Rock
The Salon Professional Academy - North Little Rock,AR,North Little Rock
Baptist Health Little Rock,AR,Little Rock
Shorter College,AR,North Little Rock
Ouachita Job Corps Center,AR,Royal
University of Arkansas for Medical Sciences/Central Arkansas Veterans Healthcare System Dietetic Internship,AR,Little Rock
University of Central Arkansas Dietetic Internship,AR,Conway
University of Arkansas for Medical Sciences Psychology Internship,AR,Little Rock
Arkansas Career Training Institute,AR,Hot Springs
South Arkansas Regional Health Center Psychology Internship,AR,El Dorado
American Samoa Community College,AS,Pago Pago
Everest College - Phoenix,AZ,Phoenix
Empire Beauty School - Scottsdale,AZ,Phoenix
Empire Beauty School - Tucson,AZ,Tucson
Thunderbird School of Global Management,AZ,Glendale
American Indian College of the Assemblies of God,AZ,Phoenix
American Institute of Technology,AZ,Phoenix
Carrington College - Phoenix,AZ,Phoenix
College America - Flagstaff,AZ,Flagstaff
Arizona Academy of Beauty Inc,AZ,Tucson
Arizona Automotive Institute,AZ,Glendale
International Institute of the Americas,AZ,Phoenix
Arizona State University,AZ,Tempe
Arizona Western College,AZ,Yuma
University of Arizona,AZ,Tucson
Southwest University of Visual Arts,AZ,Tucson
Brillare Hairdressing Academy - Scottsdale,AZ,Scottsdale
Central Arizona College,AZ,Coolidge
Charles of Italy Beauty College,AZ,Lake Havasu City
Cochise College,AZ,Douglas
Empire Beauty School - Flagstaff,AZ,Flagstaff
Empire Beauty School - Chandler,AZ,Chandler
Cortiva Institute - Desert Institute of the Healing Arts,AZ,Tucson
DeVoe College of Beauty,AZ,Sierra Vista
Avalon School of Cosmetology,AZ,Mesa
Eastern Arizona College,AZ,Thatcher
Frank Lloyd Wright School of Architecture,AZ,Scottsdale
Maricopa Community Colleges - Glendale Community College,AZ,Glendale
Grand Canyon University,AZ,Phoenix
Anthem College - Phoenix,AZ,Phoenix
International Academy of Hair Design - Mesa,AZ,Mesa
Lamson College,AZ,Tempe
Kaplan College - Phoenix,AZ,Phoenix
Maricopa Beauty College,AZ,Avondale
Maricopa Community College System Office,AZ,Tempe
Maricopa Community Colleges - Gateway Community College,AZ,Phoenix
Maricopa Community Colleges - Mesa Community College,AZ,Mesa
Mohave Community College,AZ,Kingman
Universal Technical Institute-Motorcycle Mechanics,AZ,Phoenix
Mundus Institute,AZ,Phoenix
Dine College,AZ,Tsaile
Northern Arizona University,AZ,Flagstaff
Northland Pioneer College,AZ,Holbrook
"Paralegal Institute, Inc.",AZ,Scottsdale
Empire Beauty School - Glendale,AZ,Glendale
Phoenix Therapeutic Massage College,AZ,Scottsdale
University of Phoenix,AZ,Tempe
Pima Community College,AZ,Tucson
Pima Medical Institute - Tucson,AZ,Tucson
Prescott College,AZ,Prescott
Refrigeration School Inc,AZ,Phoenix
Roberto-Venn School of Luthiery,AZ,Phoenix
Hair Academy of Safford,AZ,Safford
Long Technical College - East Valley,AZ,Phoenix
Tucson College,AZ,Tucson
Universal Technical Institute of Arizona Inc,AZ,Avondale
Metropolitan College,AZ,Phoenix
Western International University,AZ,Phoenix
Yavapai College,AZ,Prescott
Arizona Academy of Beauty - North,AZ,Tucson
Empire Beauty School - Prescott,AZ,Prescott
Remington College - Tempe Campus,AZ,Tempe
Conservatory of Recording Arts and Sciences,AZ,Tempe
University of Advancing Technology,AZ,Tempe
Academy of Radio and Television Broadcasting,AZ,Phoenix
Phoenix Seminary,AZ,Phoenix
The Bryman School of Arizona,AZ,Phoenix
Maricopa Community Colleges - Estrella Mountain Community College,AZ,Avondale
Coconino County Community College,AZ,Flagstaff
Carsten Aveda Institute - Tempe,AZ,Tempe
Southwest College of Naturopathic Medicine & Health Sciences,AZ,Tempe
Arizona College,AZ,Glendale
The Art Institute of Phoenix,AZ,Phoenix
International Baptist College,AZ,Chandler
HDS Truck Driving Institute,AZ,Tucson
East Valley Institute of Technology,AZ,Mesa
Tohono O'Odham Community College,AZ,Sells
Southwest Institute of Healing Arts,AZ,Tempe
Northcentral University,AZ,Prescott
Turning Point Beauty College,AZ,Casa Grande
Arizona School of Acupuncture and Oriental Medicine,AZ,Tucson
Phoenix Institute of Herbal Medicine and Acupuncture,AZ,Phoenix
Yavapai County Community Health Care Services Dietetic Internship,AZ,Prescott Valley
University Medical Center Support Services Dietetic Internship,AZ,Tucson
Empire Beauty School - Phoenix,AZ,Avondale
Mesa Community College - Boswell,AZ,Sun City
Quantum Helicopters,AZ,Chandler
Villa Montessori School (AMS),AZ,Phoenix
Empire Beauty School - Tucson North,AZ,Tucson
Arizona Christian University,AZ,Phoenix
Brillare Hairdressing Academy - Phoenix,AZ,Phoenix
Brighton College,AZ,Scottsdale
College of the Humanities and Sciences,AZ,Tempe
Dunlap-Stone University,AZ,Phoenix
Sessions Online Schools of Art and Design,AZ,Tempe
Sonoran Desert Institute,AZ,Scottsdale
Paradise Valley Unified School District Dietetic Internship,AZ,Phoenix
Asian Institute of Medical Studies,AZ,Tucson
National Paralegal College,AZ,Phoenix
Phoenix Therapeutic Massage College - Phoenix,AZ,Phoenix
Phoenix Therapeutic Massage College - Flagstaff,AZ,Flagstaff
College America - Phoenix,AZ,Phoenix
Rainstar University,AZ,Scottsdale
The Bryman School - Tempe,AZ,Tempe
Penn Foster College,AZ,Scottsdale
Maricopa Community Colleges - Chandler-Gilbert Community College,AZ,Chandler
Maricopa Community Colleges - Paradise Valley Community College,AZ,Phoenix
Maricopa Community Colleges - Phoenix College,AZ,Phoenix
Maricopa Community Colleges - Rio Salado Community College,AZ,Tempe
Maricopa Community Colleges - Scottsdale Community College,AZ,Scottsdale
Maricopa Community Colleges - South Mountain Community College,AZ,Phoenix
Arizona Culinary Institute,AZ,Scottsdale
Tucson College of Beauty,AZ,Tucson
Harrison Middleton University,AZ,Tempe
"Modern Techniques Beauty College, LLC",AZ,Lake Havasu
Arizona Department of Health Services Dietetic Internship,AZ,Phoenix
Carondelet St. Mary's Hospital Dietetic Internship,AZ,Tucson
Maricopa County Dietetic Internship,AZ,Tempe
Southwestern Dietetic Internship Consortium,AZ,Phoenix
Hu Hu Kam Memorial Hospital Residency in Primary Eye Care / Ocular Disease,AZ,Sacaton
Kayenta Health Center of the Indian Health Service Residency in Primary Eye Care,AZ,Kayenta
Southern Arizona VA Health Care System Residency in Primary Eye Care,AZ,Tucson
University of Arizona College of Medicine Psychology Internship,AZ,Tucson
Arizona State Hospital Psychology Internship,AZ,Phoenix
Southern Arizona Psychology Internship Center,AZ,Tucson
"Veterans Affairs Medical Center, Phoenix - AZ Psychology Internship",AZ,Phoenix
Southern Arizona VA Health Care System Psychology Internship,AZ,Tucson
Universal Barber College,AZ,Phoenix
"Premier Training, Inc. Dale Carnegie Training",AZ,Tucson
"Laun & Associates, Inc. Dale Carnegie Training",AZ,Phoenix
Cortiva Institute - Scottsdale,AZ,Scottsdale
"Arizona Training Group, LLC Dale Carnegie Training of Arizona",AZ,Tempe
Banner Good Samaritan Medical Center,AZ,Phoenix
Yuma Regional Medical Center,AZ,Yuma
Kohler Academy,AZ,Scottsdale
Sessions College for Professional Design,AZ,Tempe
Sessions Online School of Fine Arts,AZ,Tempe
International Import-Export Institute,AZ,Phoenix
Sessions Online School of Game Art,AZ,Tempe
The Studio Academy of Beauty,AZ,Chandler
Banner Desert Medical Center,AZ,Mesa
Brookline College - Phoenix,AZ,Phoenix
Pima Medical Institute - Mesa,AZ,Mesa
Chinle Service Unit Indian Health Service Residency in Primary Care/Ocular Disease,AZ,Chinle
Phoenix Children's Hospital Psychology Internship,AZ,Phoenix
Automotive Dealership Institute,AZ,Scottsdale
American Graduate School of Education,AZ,Tempe
CCIC Beauty College,AZ,Peoria
Paul Mitchell the School Phoenix,AZ,Phoenix
Fortis College - Phoenix,AZ,Phoenix
West Coast Ultrasound Institute - Phoenix,AZ,Phoenix
All Beauty College,AZ,Fort Mohave
Phoenix School of Law,AZ,Phoenix
Aveda Institute Tucson,AZ,Tucson
Classic Cooking Academy,AZ,Scottsdale
Arizona State University at the Polytechnic Campus Dietetic Internship,AZ,Mesa
Arizona State University Psychology Internship,AZ,Tempe
A.T. Still University of Health Sciences Arizona School of Dentistry and Oral Health Predoctoral Internship,AZ,Mesa
Midwestern University - Glendale Dental Predoctoral Internship,AZ,Glendale
American Institute of Interior Design,AZ,Fountain Hills
HUMINT Training - Joint Center of Excellence,AZ,Fort Huachuca
Abram Friedman Occupational Center,CA,Los Angeles
Academy of Art University,CA,San Francisco
Academy of Chinese Culture and Health Sciences,CA,Oakland
Academy Pacific Travel College,CA,Los Angeles
Alameda Beauty College,CA,Alameda
College of Alameda,CA,Alameda
Allan Hancock College,CA,Santa Maria
American Baptist Seminary of the West,CA,Berkeley
American Film Institute,CA,Los Angeles
American Beauty College,CA,West Covina
American Career College - Los Angeles,CA,Los Angeles
American Conservatory Theater,CA,San Francisco
American Graduate University,CA,Covina
American River College,CA,Sacramento
Everest Institute - Hayward,CA,Hayward
Antelope Valley College,CA,Lancaster
Art Center College of Design,CA,Pasadena
Associated Technical College,CA,Los Angeles
Azusa Pacific University,CA,Azusa
Bakersfield College,CA,Bakersfield
Barstow Community College,CA,Barstow
Bellus Academy - National City,CA,National City
Bethany University,CA,Scotts Valley
Bethesda University of California,CA,Anaheim
Biola University,CA,La Mirada
Brooks College,CA,Long Beach
Brownson Technical School,CA,Anaheim
Bryan University,CA,Los Angeles
Butte College,CA,Oroville
Phillips Graduate Institute,CA,Encino
